City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Marshall,US,84.18,clear sky,34.3834,-86.3333,Riverview Campground
567,Naze,JP,80.24,overcast clouds,28.3667,129.4833,Shishime Hotel
569,Labuhan,ID,75.85,broken clouds,-6.8844,112.2051,DoubleFAG
572,Khash,IR,79.05,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
576,Susanville,US,87.64,clear sky,40.4163,-120.653,Comfort Inn & Suites
579,Formosa Do Rio Preto,BR,78.12,clear sky,-11.0483,-45.1931,Porto Center Hotel
583,Valle De Allende,MX,80.08,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
586,Tabas,IR,84.34,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
587,Miri,MY,75.99,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
590,Boende,CD,76.93,scattered clouds,-0.2167,20.8667,
591,Petawawa,CA,81.79,clear sky,45.9001,-77.3328,Petawawa River Inn & Suites
593,Puro,PH,79.68,overcast clouds,12.4841,123.3827,
594,Beyneu,KZ,81.19,clear sky,45.3167,55.2,NUR
599,Guiren,CN,79.07,overcast clouds,33.6697,118.1889,Suyuan Hotel
604,Athabasca,CA,78.64,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
605,Marsh Harbour,BS,83.89,clear sky,26.5412,-77.0636,Abaco Beach Resort
608,Sena Madureira,BR,81.36,clear sky,-9.0656,-68.6569,Hotel Central
610,Montero,BO,70.7,clear sky,-17.3333,-63.25,Residencial Pinocho
611,Keti Bandar,PK,82.36,overcast clouds,24.1447,67.4497,Haji laloo memon house
613,Hay River,CA,80.92,broken clouds,60.8156,-115.7999,Ptarmigan Inn
616,Loano,IT,81.55,overcast clouds,44.133,8.2513,Hotel Garden Lido
619,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
622,Kudahuvadhoo,MV,80.47,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
623,Galle,LK,77.47,broken clouds,6.0367,80.217,Amangalla
624,Torrijos,ES,78.8,scattered clouds,39.9819,-4.2835,Hotel La Salve
625,Upata,VE,82.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
626,Bandarbeyla,SO,77.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
630,Emba,KZ,73.87,clear sky,48.8264,58.1442,
632,Machico,PT,72.23,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
634,Saint-Denis,FR,79.11,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
635,Old Saybrook,US,85.82,few clouds,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
637,Rumonge,BI,74.55,broken clouds,-3.9736,29.4386,Kwetu Guest House
638,Muzaffarabad,PK,77.56,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
640,Matay,EG,85.44,clear sky,28.419,30.7792,Nag Aespen
641,Awbari,LY,86.56,clear sky,26.5921,12.7805,فندق أوباري
643,Mabay,PH,77.04,few clouds,6.0577,124.4666,Bautista Lodging House
646,Inongo,CD,74.01,scattered clouds,-1.95,18.2667,Hotel Du Lac
647,Calabozo,VE,77.54,overcast clouds,8.9242,-67.4293,Hotel Giardini
648,Tam Ky,VN,76.15,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
650,Nacala,MZ,69.51,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
651,Vaitape,PF,77.32,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
652,Paris,FR,78.15,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
653,Pacifica,US,86.22,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
658,Carlisle,US,85.48,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
662,Black Forest,US,84.74,scattered clouds,39.0131,-104.7008,Datt Properties
668,Humaita,BR,83.79,broken clouds,-7.5061,-63.0208,Corrêa Hotel
669,Barcelona,ES,85.53,few clouds,41.3888,2.159,Axel Hotel Barcelona
671,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
672,Beira,MZ,70.03,clear sky,-19.8436,34.8389,Beira Terrace Hotel
674,Nalgonda,IN,76.35,overcast clouds,17.05,79.2667,Sai Krishna Residency
675,Tura,IN,73.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
679,Hinton,CA,88.34,clear sky,53.4001,-117.5857,Econo Lodge & Suites
681,Devils Lake,US,73.94,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
682,Novikovo,RU,71.58,overcast clouds,51.1537,37.8879,
684,Mogadishu,SO,76.08,light rain,2.0371,45.3438,Hotel Juba
687,Bolobo,CD,82.36,broken clouds,-2.1667,16.2333,Hotel de Stephen
688,Marsassoum,SN,78.49,overcast clouds,12.8275,-15.9806,Djinoubor keur Samba ba
690,Tunceli,TR,76.39,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
691,Samarai,PG,78.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
