City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
59,Isangel,VU,70.93,clear sky,-19.55,169.2667,Tanna Lodge
61,Waingapu,ID,74.68,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
63,Marathon,US,85.24,scattered clouds,44.9,-89.7668,
67,Daru,PG,76.95,overcast clouds,-9.0763,143.2092,Daru Lodge
68,Atuona,PF,77.4,few clouds,-9.8,-139.0333,Villa Enata
70,Tanabe,JP,81.37,overcast clouds,33.7333,135.3667,美吉屋旅館
71,San Quintin,MX,78.31,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
72,Katsuura,JP,82.06,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
73,Cabra,ES,79.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
74,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Hirara,JP,79.07,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
81,Businga,CD,72.16,overcast clouds,3.3333,20.8833,
82,Muisne,EC,75.02,overcast clouds,0.6,-80.0333,Quinta Samay
87,Cairns,AU,70.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
88,Banjar,ID,74.82,scattered clouds,-8.19,114.9675,The Hamsa Resort
90,Dingle,PH,75.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
91,Hithadhoo,MV,81.81,few clouds,-0.6,73.0833,Scoop Guest House
92,Sao Filipe,CV,78.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
93,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
94,Barra,BR,77.74,clear sky,-11.0894,-43.1417,Pousada Bahia
97,Non Sung,TH,74.3,overcast clouds,15.1801,102.2569,บ้านของกลอยใจ
100,Ban Tak,TH,76.21,overcast clouds,17.0432,99.0813,Bansuansiriwat
101,Bud,US,83.75,broken clouds,39.447,-86.1758,Ted McQuinn Trust
104,Wah,PK,88.02,clear sky,33.798,72.6957,UW Boys Hostel 27 Area Wah
105,Sakrand,PK,84.15,smoke,26.1384,68.2736,New Mashaallah Hotel
106,Tabou,CI,75.83,overcast clouds,4.423,-7.3528,hotêl doufoulougou
108,Kahului,US,82.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
110,San Andres,CO,81.55,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
111,Sao Gabriel Da Cachoeira,BR,85.12,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
114,Sekondi,GH,73.2,scattered clouds,4.937,-1.7128,Mapees Guest House
118,Japura,ID,73.67,broken clouds,-0.3167,102.35,Rumah mbah Jamah
121,Coos Bay,US,78.31,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
122,Marsaxlokk,MT,81.21,clear sky,35.8419,14.5431,Water's Edge
123,Hasaki,JP,82.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
126,Vila Franca Do Campo,PT,73.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
128,Maceio,BR,74.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
129,Ponta Delgada,PT,73.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
130,Mbandaka,CD,74.59,scattered clouds,0.0487,18.2603,Guest House Epervier
