City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hermanus,ZA,2022-08-10 22:01:44,-34.4187,19.2345,54.81,88,79,6.96,broken clouds
79,Hirara,JP,2022-08-10 22:04:37,24.8,125.2833,79.07,94,20,1.14,few clouds
80,Chernihiv,UA,2022-08-10 22:07:03,51.0,32.0,62.56,84,100,6.85,overcast clouds
81,Businga,CD,2022-08-10 22:07:03,3.3333,20.8833,72.16,96,95,2.62,overcast clouds
82,Muisne,EC,2022-08-10 22:07:04,0.6,-80.0333,75.02,82,100,10.96,overcast clouds
83,Castro,BR,2022-08-10 22:01:14,-24.7911,-50.0119,47.8,90,99,11.03,overcast clouds
84,Severo-Kurilsk,RU,2022-08-10 22:01:37,50.6789,156.125,56.52,90,46,9.86,scattered clouds
85,Ancud,CL,2022-08-10 22:02:19,-41.8697,-73.8203,51.22,93,100,15.75,light rain
86,Antofagasta,CL,2022-08-10 22:05:04,-23.65,-70.4,56.48,77,21,4.81,few clouds
87,Cairns,AU,2022-08-10 22:05:15,-16.9167,145.7667,70.07,88,100,9.22,overcast clouds
88,Banjar,ID,2022-08-10 22:04:09,-8.19,114.9675,74.82,89,25,3.58,scattered clouds
89,Sao Gotardo,BR,2022-08-10 22:07:05,-19.3111,-46.0489,61.47,38,100,12.59,overcast clouds
90,Dingle,PH,2022-08-10 22:05:07,10.9995,122.6711,75.27,90,94,1.23,overcast clouds
91,Hithadhoo,MV,2022-08-10 22:02:11,-0.6,73.0833,81.81,73,22,7.11,few clouds
92,Sao Filipe,CV,2022-08-10 22:02:12,14.8961,-24.4956,78.35,87,68,8.79,broken clouds
93,Olinda,BR,2022-08-10 22:02:01,-8.0089,-34.8553,76.73,78,20,6.91,few clouds
94,Barra,BR,2022-08-10 22:07:06,-11.0894,-43.1417,77.74,33,0,4.25,clear sky
95,Nome,US,2022-08-10 22:07:06,64.5011,-165.4064,50.16,87,100,10.36,overcast clouds
96,Barrow,US,2022-08-10 22:00:53,71.2906,-156.7887,46.42,87,100,16.11,overcast clouds
97,Non Sung,TH,2022-08-10 22:07:06,15.1801,102.2569,74.3,90,100,7.23,overcast clouds
98,Irbeyskoye,RU,2022-08-10 22:07:07,55.6428,95.4522,53.58,96,12,3.4,few clouds
99,Port Alfred,ZA,2022-08-10 22:02:58,-33.5906,26.891,60.44,83,88,5.5,overcast clouds
100,Ban Tak,TH,2022-08-10 22:07:07,17.0432,99.0813,76.21,95,99,4.94,overcast clouds
101,Bud,US,2022-08-10 22:01:34,39.447,-86.1758,83.75,59,51,3.51,broken clouds
102,Dickinson,US,2022-08-10 22:06:01,29.4608,-95.0513,96.13,62,40,17.27,scattered clouds
103,Vila,PT,2022-08-10 22:07:08,42.0304,-8.1588,63.48,82,18,5.12,few clouds
104,Wah,PK,2022-08-10 22:07:08,33.798,72.6957,88.02,60,9,7.45,clear sky
105,Sakrand,PK,2022-08-10 22:07:08,26.1384,68.2736,84.15,84,20,0.0,smoke
106,Tabou,CI,2022-08-10 22:04:58,4.423,-7.3528,75.83,79,96,7.58,overcast clouds
107,Qaanaaq,GL,2022-08-10 22:01:36,77.484,-69.3632,38.39,64,91,2.66,overcast clouds
108,Kahului,US,2022-08-10 21:57:59,20.8947,-156.47,82.85,83,2,10.0,clear sky
109,Deputatskiy,RU,2022-08-10 22:02:51,69.3,139.9,58.14,64,93,1.52,overcast clouds
110,San Andres,CO,2022-08-10 22:00:50,12.5847,-81.7006,81.55,85,100,18.7,overcast clouds
111,Sao Gabriel Da Cachoeira,BR,2022-08-10 22:07:09,-0.1303,-67.0892,85.12,60,68,2.46,broken clouds
112,Suntar,RU,2022-08-10 22:07:10,62.1444,117.6319,58.44,78,100,5.55,overcast clouds
113,Cape Town,ZA,2022-08-10 22:00:54,-33.9258,18.4232,57.34,92,93,3.0,overcast clouds
114,Sekondi,GH,2022-08-10 22:07:10,4.937,-1.7128,73.2,87,29,6.51,scattered clouds
115,Chokurdakh,RU,2022-08-10 22:01:54,70.6333,147.9167,64.22,52,68,11.34,broken clouds
116,Churapcha,RU,2022-08-10 22:07:11,62.0025,132.4325,58.44,87,100,5.08,overcast clouds
117,Guaira,BR,2022-08-10 22:07:11,-20.3183,-48.3106,60.58,43,60,8.86,broken clouds
118,Japura,ID,2022-08-10 22:07:11,-0.3167,102.35,73.67,93,56,3.09,broken clouds
119,Cidreira,BR,2022-08-10 22:04:10,-30.1811,-50.2056,57.25,75,5,8.23,clear sky
120,Ostersund,SE,2022-08-10 22:07:12,63.1792,14.6357,66.65,59,40,5.75,scattered clouds
121,Coos Bay,US,2022-08-10 22:07:12,43.3665,-124.2179,78.31,53,75,17.27,broken clouds
122,Marsaxlokk,MT,2022-08-10 22:07:13,35.8419,14.5431,81.21,69,0,4.61,clear sky
123,Hasaki,JP,2022-08-10 22:02:00,35.7333,140.8333,82.8,87,84,15.37,broken clouds
124,Lompoc,US,2022-08-10 22:03:20,34.6391,-120.4579,91.02,59,0,12.66,clear sky
125,Menongue,AO,2022-08-10 22:07:13,-14.6585,17.691,55.58,25,0,3.58,clear sky
126,Vila Franca Do Campo,PT,2022-08-10 22:02:46,37.7167,-25.4333,73.2,72,53,6.22,broken clouds
127,Hualmay,PE,2022-08-10 22:02:43,-11.0964,-77.6139,65.46,72,16,9.37,few clouds
128,Maceio,BR,2022-08-10 22:06:53,-9.6658,-35.7353,74.64,83,0,6.91,clear sky
129,Ponta Delgada,PT,2022-08-10 22:06:01,37.7333,-25.6667,73.51,73,20,9.22,few clouds
130,Mbandaka,CD,2022-08-10 22:07:14,0.0487,18.2603,74.59,65,30,3.18,scattered clouds
131,Tibiri,NE,2022-08-10 22:07:14,13.5627,7.0485,86.74,54,93,13.27,overcast clouds
132,Nuuk,GL,2022-08-10 22:04:12,64.1835,-51.7216,45.88,93,100,3.0,light rain
133,Hakkari,TR,2022-08-10 22:07:15,37.5833,44.1667,56.98,58,0,4.61,clear sky
134,Hilo,US,2022-08-10 22:02:06,19.7297,-155.09,89.28,77,66,7.0,broken clouds
135,Swan River,CA,2022-08-10 22:02:40,52.1058,-101.2676,70.11,48,29,6.55,scattered clouds
136,Bethel,US,2022-08-10 22:01:15,41.3712,-73.414,87.19,57,1,4.83,clear sky
137,Haldwani,IN,2022-08-10 22:07:15,29.2167,79.5167,81.23,72,100,5.99,heavy intensity rain
138,Richards Bay,ZA,2022-08-10 22:02:17,-28.783,32.0377,64.92,90,47,1.86,scattered clouds
139,Cardston,CA,2022-08-10 22:07:16,49.2,-113.3019,89.98,21,100,13.96,overcast clouds
140,Moundou,TD,2022-08-10 22:07:16,8.5667,16.0833,72.73,94,100,3.2,overcast clouds
141,Mitzic,GA,2022-08-10 22:07:17,0.7821,11.549,69.51,88,11,4.81,few clouds
142,Bredasdorp,ZA,2022-08-10 22:02:00,-34.5322,20.0403,50.97,95,86,3.98,overcast clouds
143,Nanlong,CN,2022-08-10 22:07:17,31.3533,106.0631,81.18,69,98,3.11,overcast clouds
144,Acapulco,MX,2022-08-10 22:00:35,16.8634,-99.8901,84.69,72,100,4.59,overcast clouds
145,Pahrump,US,2022-08-10 22:07:18,36.2083,-115.9839,99.45,26,3,8.68,clear sky
146,Taoudenni,ML,2022-08-10 22:02:22,22.6783,-3.9836,103.48,13,64,4.25,broken clouds
147,Tambovka,RU,2022-08-10 22:07:18,50.0969,128.0489,55.4,95,86,5.46,overcast clouds
148,Thompson,CA,2022-08-10 22:03:05,55.7435,-97.8558,73.11,30,41,5.95,scattered clouds
149,San Patricio,US,2022-08-10 22:02:28,28.017,-97.5169,101.12,38,12,16.75,few clouds
150,Sabya,SA,2022-08-10 22:07:19,17.1495,42.6254,89.74,67,100,7.02,overcast clouds
151,Khatanga,RU,2022-08-10 22:02:56,71.9667,102.5,43.95,78,100,11.01,overcast clouds
152,Fayaoue,NC,2022-08-10 22:06:16,-20.65,166.5333,69.75,49,0,8.25,clear sky
153,Sechura,PE,2022-08-10 22:07:19,-5.5569,-80.8222,72.01,64,21,17.07,few clouds
154,Kichmengskiy Gorodok,RU,2022-08-10 22:07:19,59.9816,45.7854,54.59,97,100,2.95,overcast clouds
155,Naron,ES,2022-08-10 22:07:20,43.5167,-8.1528,70.59,95,96,3.78,light rain
156,Poum,NC,2022-08-10 22:03:27,-20.2333,164.0167,69.87,57,0,19.24,clear sky
157,Sinnamary,GF,2022-08-10 22:07:20,5.3833,-52.95,79.92,83,26,10.18,scattered clouds
158,Norman Wells,CA,2022-08-10 21:57:52,65.282,-126.8329,55.26,51,100,13.0,overcast clouds
159,Ojinaga,MX,2022-08-10 22:07:21,29.5667,-104.4167,101.57,28,0,0.0,clear sky
160,Carquefou,FR,2022-08-10 22:07:21,47.2982,-1.4902,82.47,38,0,6.91,clear sky
161,Lastoursville,GA,2022-08-10 22:07:21,-0.8143,12.7287,79.7,58,55,4.03,broken clouds
162,Seoul,KR,2022-08-10 21:59:29,37.5683,126.9778,74.59,100,100,4.61,overcast clouds
163,Arraial Do Cabo,BR,2022-08-10 22:02:35,-22.9661,-42.0278,67.91,80,100,25.57,light rain
164,Vila Velha,BR,2022-08-10 22:06:45,-20.3297,-40.2925,78.75,75,0,12.66,clear sky
165,Ngunguru,NZ,2022-08-10 22:07:22,-35.6167,174.5,54.23,80,66,17.9,broken clouds
166,Vzmorye,RU,2022-08-10 22:07:22,54.6961,20.2361,53.69,88,20,4.18,few clouds
167,Kapaa,US,2022-08-10 22:02:32,22.0752,-159.319,82.47,74,28,5.99,scattered clouds
168,Osakarovka,KZ,2022-08-10 22:07:23,50.565,72.5692,55.96,96,94,6.42,overcast clouds
169,Half Moon Bay,US,2022-08-10 22:00:09,37.4636,-122.4286,87.42,66,0,17.27,clear sky
170,Vostok,RU,2022-08-10 22:07:23,46.4856,135.8833,59.85,86,43,4.68,scattered clouds
171,Baruun-Urt,MN,2022-08-10 22:04:14,46.6806,113.2792,58.87,67,96,0.38,overcast clouds
172,Carutapera,BR,2022-08-10 22:07:24,-1.195,-46.02,77.52,85,62,6.91,broken clouds
173,Khandyga,RU,2022-08-10 22:07:24,62.6667,135.6,57.0,92,100,2.35,overcast clouds
174,Broome,US,2022-08-10 22:00:19,42.2506,-75.833,79.63,58,38,1.99,scattered clouds
175,Tyumentsevo,RU,2022-08-10 22:07:25,53.3224,81.498,60.46,77,59,6.85,broken clouds
176,Suhbaatar,MN,2022-08-10 22:07:25,50.2314,106.2078,57.51,91,81,2.91,broken clouds
177,Rabo De Peixe,PT,2022-08-10 22:07:25,37.8,-25.5833,72.28,68,20,9.22,few clouds
178,Jiuquan,CN,2022-08-10 22:07:26,39.7432,98.5174,75.61,63,9,1.79,clear sky
179,Plettenberg Bay,ZA,2022-08-10 22:07:26,-34.0527,23.3716,57.16,87,100,3.47,overcast clouds
180,Saint-Philippe,RE,2022-08-10 22:02:03,-21.3585,55.7679,65.79,79,58,15.55,light rain
181,Molchanovo,RU,2022-08-10 22:07:27,57.5817,83.7692,59.31,96,42,4.81,scattered clouds
182,Kungurtug,RU,2022-08-10 22:07:27,50.5994,97.5228,46.36,95,99,1.7,overcast clouds
